SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.364929615,30,0,0.319851577,2694.0,4,0,0,0,0.0
0,0.736579913,73,0,0.181530899,5695.0,13,0,0,0,1.0
0,0.018966034,51,0,0.114217795,8833.0,4,0,1,0,0.0
0,0.027646203,39,0,0.51508399,5833.0,5,0,1,0,1.0
0,0.08321083,51,0,0.218402325,9976.0,3,0,1,0,0.0
0,0.652762266,40,0,0.128656972,5844.0,5,0,0,0,0.0
1,1.006916253,55,3,1.073774393,2100.0,11,1,1,1,0.0
0,0.011055404,44,0,0.241050853,6508.0,13,0,2,0,3.0
0,0.128347826,56,0,0.361540598,10800.0,14,0,3,0,2.0
0,0.0,61,0,0.51291308,3600.0,8,0,1,0,1.0
0,0.297667558,63,1,4804.0,,17,0,3,0,1.0
0,0.85682283,39,0,0.290897159,10666.0,13,0,0,0,2.0
0,0.24995001,34,0,1245.0,0.0,4,0,2,0,1.0
0,0.113008401,53,0,0.239971088,8300.0,16,0,1,0,1.0
0,0.018280515,91,0,39.0,0.0,7,0,0,0,0.0
0,0.262463547,59,1,0.587342666,8500.0,16,0,2,0,1.0
0,0.124740928,58,0,0.309466215,6200.0,15,0,1,0,2.0
0,0.0,48,0,0.225303293,7500.0,14,0,2,0,1.0
0,0.648701378,36,0,0.503408781,3666.0,7,0,1,0,0.0
0,0.358565737,39,0,0.064239829,5136.0,3,0,0,0,1.0
1,0.9999999,60,0,0.275265957,2255.0,3,3,0,0,0.0
0,0.12246923,74,0,0.205158968,5000.0,18,0,0,0,0.0
0,0.061313997,49,0,0.222959184,11759.0,6,0,2,0,2.0
0,0.553630913,22,0,0.025806452,929.0,2,0,0,0,0.0
0,0.183671951,49,0,0.262210797,3500.0,4,0,1,0,0.0
0,0.087258255,46,0,0.272191979,9000.0,4,0,1,0,0.0
0,0.534883721,48,0,0.115618894,8700.0,11,0,0,0,2.0
0,0.053258815,44,0,1.565390353,2010.0,5,0,1,0,2.0
0,0.157148571,56,0,0.199862509,16000.0,9,0,2,0,0.0
0,0.132591379,28,0,0.241339223,4300.0,3,0,1,0,0.0
1,0.632935261,33,0,0.7421981,3684.0,8,3,1,0,1.0
0,0.025243939,56,0,0.218715826,6400.0,14,0,1,0,0.0
0,0.233156334,31,0,0.051289742,3333.0,3,0,0,0,0.0
0,0.500937383,32,0,1698.0,,6,0,1,0,0.0
0,0.10887129,50,0,53.0,,1,0,0,0,0.0
0,0.596711722,31,0,0.192663696,2916.0,9,0,0,0,0.0
0,0.012140214,41,0,0.592437739,5500.0,17,0,3,0,2.0
0,0.379592192,29,0,0.640857463,6250.0,10,0,2,0,0.0
0,1.019442284,42,3,0.905364878,3000.0,9,0,2,1,0.0
0,0.011312533,89,0,14.0,,8,0,0,0,
0,0.0,55,0,1976.0,,6,0,1,0,0.0
0,0.713362042,47,1,0.931517158,6643.0,7,0,2,0,2.0
0,0.174016782,51,0,0.080175478,13220.0,10,0,0,0,5.0
1,0.9999999,27,0,0.0,3258.0,0,0,0,0,0.0
1,0.415413129,53,7,0.524423963,5424.0,18,0,2,1,4.0
1,0.9999999,38,0,53.0,,1,0,0,0,0.0
0,0.328235909,60,0,0.469087494,6388.0,18,0,2,0,1.0
0,0.073273168,30,0,0.576556111,2200.0,8,0,1,0,0.0
0,0.214400276,51,0,0.114687741,5187.0,10,0,0,0,0.0
0,0.082576348,49,0,0.052995692,7660.0,21,0,0,0,2.0
0,0.070486905,65,0,0.017466536,6125.0,5,0,0,0,0.0
0,0.349314554,71,0,0.383392058,10500.0,7,0,2,0,1.0
0,0.001066619,79,0,0.196901549,4001.0,5,0,1,0,1.0
0,0.093842818,65,0,0.48861912,3953.0,19,0,1,0,0.0
0,0.391921856,37,0,0.275829827,6416.0,9,0,1,0,2.0
0,0.392686927,53,0,0.367235633,9900.0,16,0,1,0,3.0
0,0.243181071,80,0,0.364856976,8564.0,16,0,2,0,0.0
0,0.9999999,37,0,0.970922308,2200.0,5,0,1,0,1.0
0,0.071348433,49,0,0.227182886,8600.0,5,0,1,0,0.0
0,0.733125649,46,0,571.0,,1,0,0,0,0.0
0,0.728457211,30,0,0.513165204,9000.0,10,0,2,0,0.0
1,0.123350658,53,1,1131.0,,18,0,2,0,2.0
0,0.025616775,64,0,3804.0,,7,0,1,0,0.0
0,0.941879413,61,1,328.0,,10,0,0,0,0.0
0,0.559178121,53,0,0.368680468,7100.0,9,0,1,0,2.0
0,0.027906362,61,0,0.315943851,9545.0,27,0,2,0,0.0
0,0.9999999,22,0,0.0,3600.0,1,0,0,0,0.0
0,0.940557601,30,2,0.102592388,3625.0,6,0,0,2,1.0
0,0.238211127,67,0,0.152379683,7500.0,11,0,0,0,1.0
0,0.985355015,32,0,0.133402995,2870.0,4,1,0,0,2.0
0,0.839107184,26,1,0.298350825,2000.0,3,0,0,0,0.0
0,0.098893578,38,0,0.025930851,3007.0,4,0,0,0,0.0
0,0.882569394,49,2,0.829773178,4540.0,14,0,1,1,1.0
0,0.008006245,62,0,0.229882868,10500.0,14,0,2,0,2.0
1,0.9999999,37,1,0.243793911,4269.0,3,3,0,0,1.0
0,0.825745073,53,1,334.0,,1,1,0,1,0.0
0,0.200769645,62,0,0.370538947,9666.0,15,0,2,0,1.0
0,0.803039392,29,0,0.345713294,2880.0,3,0,0,0,0.0
0,0.432584582,44,0,0.76494369,3462.0,9,0,1,0,2.0
0,0.220955795,53,0,0.691949698,10098.0,20,0,2,0,3.0
0,0.039096506,61,0,28.0,0.0,4,0,0,0,0.0
0,0.07803546,49,0,0.329205366,8720.0,4,0,1,0,1.0
0,0.0,77,0,1067.0,,3,0,1,0,0.0
0,0.192356588,50,0,0.337653973,12420.0,16,0,2,0,2.0
0,0.007392122,48,0,1538.0,,15,0,3,0,3.0
0,0.0,64,0,0.520617084,10500.0,17,0,2,0,0.0
0,0.091222913,60,0,0.127942157,19500.0,10,0,2,0,1.0
0,0.008898482,44,0,0.928162746,4718.0,7,0,2,0,2.0
0,0.110086983,69,0,0.044986386,8446.0,20,0,0,0,0.0
0,0.296224478,32,0,0.447948916,5167.0,14,0,1,0,1.0
0,0.0,40,0,0.349947769,6700.0,8,0,2,0,2.0
0,0.434106374,56,0,5515.0,,5,0,1,0,0.0
0,0.9999999,72,1,0.429590018,2243.0,9,1,0,0,0.0
1,0.987636364,41,0,1673.0,,5,0,1,0,2.0
0,0.137694496,62,0,0.600399886,3500.0,16,0,1,0,0.0
0,0.532934132,22,0,0.394014963,400.0,2,0,0,0,0.0
0,0.267844905,67,0,0.406158747,3766.0,13,0,0,0,0.0
0,0.143767128,37,0,890.0,,3,0,1,0,0.0
0,0.010939889,42,0,0.282803509,10600.0,8,0,1,0,3.0
0,0.165380615,44,1,0.443953086,5200.0,14,0,1,0,0.0
0,0.154407154,65,0,3221.0,,15,0,1,0,1.0
0,0.129961036,49,0,0.313856427,9583.0,9,0,1,0,3.0
0,0.036938187,45,0,1705.5,1.0,9,0,1,0,2.0
0,0.019648397,30,0,0.103705832,3480.0,3,0,0,0,1.0
0,0.077172153,39,0,0.426958363,4250.0,9,0,1,0,0.0
0,0.072953046,54,0,0.176700783,9965.0,6,0,1,0,0.0
0,0.269178222,49,0,0.367726455,5000.0,15,0,2,0,0.0
0,0.410524457,69,0,0.819932289,4725.0,13,0,2,0,0.0
0,0.731341031,58,1,0.306889807,4600.0,8,0,1,0,0.0
0,0.55860463,40,0,0.277767679,5500.0,10,0,0,0,3.0
0,0.019278524,56,0,121.0,,12,0,0,0,0.0
0,0.677474622,57,0,0.394578313,14607.0,13,0,2,0,0.0
0,0.950701249,35,0,0.279944011,5000.0,6,0,0,0,2.0
0,0.326556161,53,0,2406.0,,15,0,1,0,0.0
0,0.0,46,0,0.278906093,4972.0,5,0,2,0,2.0
0,0.738946093,38,1,0.098696978,3606.0,6,3,0,1,1.0
0,0.198317583,68,0,0.621050472,4873.0,11,0,3,0,0.0
1,0.88006663,31,3,0.104176498,8475.0,9,0,0,2,0.0
0,0.319447649,55,1,0.133364098,2166.0,6,0,0,0,1.0
0,0.0,50,0,0.0,,5,0,0,0,0.0
0,0.032815475,59,0,0.50014041,3560.0,13,0,2,0,0.0
0,0.420335508,57,0,0.446488562,6250.0,10,0,3,0,0.0
0,0.147284262,71,0,0.437526118,16750.0,10,0,2,0,0.0
0,0.002294389,65,0,232.0,,18,0,0,0,0.0
0,0.677013423,44,2,0.477268254,15242.0,19,0,4,0,1.0
0,0.9999999,55,0,0.5152,1874.0,2,0,0,0,0.0
0,0.026498675,49,0,22.0,,4,0,0,0,
0,0.017770387,60,0,0.086810773,8650.0,19,0,1,0,0.0
0,0.211890582,39,0,0.313805759,7083.0,13,0,2,0,3.0
0,0.0,63,0,0.190740137,9200.0,4,0,1,0,1.0
0,0.000101208,46,0,0.416451112,5798.0,8,0,2,0,0.0
0,0.034691169,62,0,0.747037648,13333.0,26,0,6,0,0.0
0,0.05027992,81,0,41.0,,3,0,0,0,0.0
0,0.13163482,64,0,0.350521354,7000.0,7,0,1,0,0.0
0,0.258853044,71,0,0.591093117,5433.0,12,0,2,0,0.0
1,0.825182383,37,0,0.140209659,5341.0,6,0,0,0,1.0
0,0.9999999,41,0,0.0,7500.0,1,0,0,0,1.0
0,0.457245791,44,0,0.288554288,8500.0,9,0,2,0,0.0
0,1.044979555,47,0,0.294907841,3200.0,8,0,0,0,1.0
0,0.855372909,47,0,0.428992992,5421.0,13,0,1,0,1.0
0,0.604728403,63,0,3982.0,,10,0,1,0,0.0
0,0.806790622,45,0,1359.0,,13,0,1,0,1.0
0,0.882933235,58,0,2629.0,,19,0,1,0,0.0
0,0.098050401,70,0,87.0,,15,0,0,0,0.0
0,0.034893465,44,0,0.010812696,8600.0,8,0,0,0,1.0
0,0.065420131,62,0,608.0,,19,0,1,0,0.0
0,0.353507359,60,0,0.42861331,3410.0,11,0,1,0,3.0
0,0.050949466,53,1,0.239980002,12000.0,13,0,2,0,1.0
1,0.196894561,40,1,72.0,,2,0,0,0,0.0
0,0.062389954,51,0,0.071209199,14000.0,6,0,0,0,2.0
0,0.0,60,0,0.093440821,2728.0,3,1,0,0,0.0
0,0.697812691,31,0,0.236980252,12000.0,10,0,0,0,1.0
0,0.9999999,44,0,0.062822953,3676.0,2,0,0,0,5.0
0,0.499077642,67,1,0.292301718,10300.0,20,0,1,0,0.0
0,0.391223876,35,0,0.613096726,4000.0,7,0,1,0,0.0
0,0.014031805,89,0,0.006542526,1986.0,5,0,0,0,0.0
0,0.032030038,70,0,0.021239705,2306.0,5,0,0,0,0.0
0,0.211608827,73,0,0.249903883,2600.0,5,0,0,0,0.0
0,0.030356059,39,0,0.131120573,20667.0,5,0,2,0,2.0
0,0.102265826,36,0,0.499181967,5500.0,10,0,2,0,1.0
0,0.474161412,45,0,401.0,,7,0,0,0,0.0
0,0.0,72,0,0.276490578,3236.0,4,0,0,0,0.0
0,0.15617915,65,0,0.2507352,7820.0,19,0,2,0,1.0
0,0.393267789,64,0,0.276099051,9166.0,10,0,1,0,2.0
0,0.462614954,40,1,2465.0,,6,1,1,0,2.0
0,1.018496917,53,4,0.458874459,3926.0,6,1,2,1,1.0
0,0.016211383,76,0,1856.0,,15,0,2,0,0.0
0,0.289362727,71,3,0.298212723,8000.0,13,0,1,2,1.0
0,0.208947427,55,0,0.159210317,6280.0,3,0,1,0,0.0
1,0.840902599,34,0,0.193944587,3500.0,5,0,0,0,0.0
0,0.022887646,73,0,0.39544571,3600.0,4,0,1,0,0.0
0,0.0,37,0,0.0,3360.0,1,0,0,0,0.0
0,0.005732951,39,0,0.26582156,10333.0,7,0,2,0,1.0
1,1.0,27,0,0.268362201,4560.0,6,2,1,0,2.0
0,0.035488413,52,0,1069.0,,10,0,1,0,1.0
0,0.010451322,72,0,0.008706869,3100.0,8,0,0,0,0.0
0,0.144268085,63,1,0.735252949,5000.0,11,0,1,0,3.0
0,0.001287654,46,0,0.379484305,5351.0,12,0,1,0,2.0
0,0.341077558,43,0,0.116294185,20000.0,5,0,2,0,2.0
1,0.98960208,48,0,0.510638298,1973.0,1,1,0,1,0.0
0,0.71806218,65,0,0.258518637,6250.0,8,0,1,1,2.0
0,0.029808104,79,0,1214.0,,11,0,1,0,
0,0.207099973,54,0,645.0,1.0,23,0,0,0,0.0
0,0.0,76,0,0.0,,2,0,0,0,0.0
0,0.054576504,62,0,0.190180063,10773.0,13,0,1,0,0.0
0,0.0,48,0,0.168258633,1360.0,14,0,0,0,0.0
0,0.004378407,48,0,0.308897034,3000.0,6,0,1,0,0.0
0,0.181423388,60,0,0.032192131,5870.0,2,0,0,0,0.0
1,0.88611121,52,3,0.559488102,5000.0,8,0,2,0,4.0
0,0.065612799,90,0,20.0,,2,0,0,0,0.0
0,0.116026787,64,0,0.368926215,1666.0,10,0,0,0,0.0
0,0.736622023,25,0,0.335207748,3200.0,10,0,0,0,0.0
0,0.001641667,65,0,3120.0,,16,0,1,0,0.0
0,0.101221417,56,0,0.067146283,8339.0,25,0,0,0,1.0
0,0.907002906,47,0,4947.0,,7,0,2,0,
1,0.540933003,30,2,0.630105684,3500.0,12,0,1,0,0.0
0,0.035682057,45,0,1823.0,,17,0,2,0,
0,0.852147852,31,0,0.312648326,11376.0,8,0,2,1,0.0
0,0.079565395,39,0,0.918481643,4820.0,13,0,2,0,0.0
1,0.837784961,63,0,0.653739184,6471.0,10,0,1,0,0.0
0,0.120492285,74,0,0.16597625,14483.0,18,0,1,0,1.0
0,0.060477907,77,0,0.012140034,7083.0,11,0,0,0,0.0
0,0.293967337,36,0,0.778957084,4333.0,7,0,2,0,0.0
0,0.003204331,89,0,0.000499917,6000.0,4,0,0,0,0.0
1,0.330167555,62,0,0.593351662,4000.0,8,0,2,0,0.0
0,0.172862128,50,2,0.373571783,8051.0,10,0,1,0,2.0
0,0.878475476,38,1,0.200156169,7683.0,12,0,0,0,0.0
0,0.064885284,41,0,0.936510582,6000.0,7,0,2,0,0.0
0,0.9999999,48,0,0.0,800.0,2,0,0,0,2.0
0,0.055850114,70,0,1386.0,0.0,7,0,1,0,0.0
0,0.113187444,76,0,0.425443503,6256.0,5,0,1,0,0.0
0,0.0,70,0,3.751243781,200.0,7,0,1,0,0.0
0,0.480315862,63,0,0.259956943,5573.0,8,0,1,0,0.0
0,0.626518997,48,0,0.059370846,2256.0,2,0,0,0,4.0
0,0.96827954,54,0,522.0,,1,0,0,0,0.0
0,0.035687238,63,0,0.009672831,7029.0,9,0,0,0,0.0
0,0.153988737,46,1,5439.0,,19,0,5,0,0.0
0,0.444169182,42,0,0.253939828,5583.0,6,0,0,0,0.0
0,0.319190816,49,0,0.358153388,9400.0,18,0,2,0,0.0
0,0.071417895,54,0,0.204599425,8000.0,8,0,2,0,0.0
0,0.003655411,82,0,7.0,,13,0,0,0,0.0
0,0.227844266,39,0,1.303696304,1000.0,5,0,1,0,0.0
0,0.0,30,1,0.210591643,7250.0,11,0,1,0,2.0
0,0.107071807,50,0,0.284471553,10000.0,11,0,2,0,4.0
0,0.9999999,28,98,0.0,500.0,0,98,0,98,0.0
1,0.9999999,51,1,0.022189349,6083.0,3,3,0,0,8.0
0,0.008496939,58,0,1295.0,,8,0,2,0,0.0
0,0.153982469,45,1,0.240327806,5246.0,9,1,1,0,0.0
0,0.05122967,53,0,0.443858938,7400.0,22,0,2,0,4.0
0,0.162856774,41,0,0.071306136,5833.0,6,0,0,0,0.0
0,0.095876165,74,0,0.01616532,12000.0,3,0,0,0,0.0
0,0.016772111,62,2,0.365105975,8350.0,16,0,1,0,1.0
1,0.536070308,51,1,0.269421957,7040.0,5,5,0,0,1.0
0,0.274523138,44,0,0.353637197,12000.0,11,0,1,0,2.0
0,0.855310639,47,0,6262.0,,5,0,1,0,1.0
0,0.452886993,45,3,0.494914867,8750.0,10,0,2,0,0.0
0,0.445760573,57,0,0.399571463,12600.0,17,0,2,0,2.0
0,0.023322843,71,0,0.009307972,2470.0,2,0,0,0,0.0
0,0.0,24,0,0.0,400.0,2,0,0,0,0.0
0,0.831889081,46,0,0.052252733,3750.0,4,0,0,0,0.0
0,0.089997,61,0,0.095542857,17499.0,3,0,1,0,0.0
0,0.007936613,49,0,0.124928629,8756.0,9,0,0,0,2.0
0,0.0,70,0,0.265533495,7000.0,11,0,1,0,0.0
0,0.0,36,0,0.400316178,5692.0,9,0,2,0,0.0
0,0.433195851,80,2,122.0,,7,0,0,0,0.0
0,0.010102046,74,0,1255.0,,7,0,0,0,0.0
0,0.9999999,34,1,0.053578569,2500.0,1,0,0,0,1.0
0,0.137790235,61,0,0.262789535,6000.0,24,0,0,0,0.0
0,0.252449738,63,0,3161.0,,14,0,2,0,1.0
0,0.390236925,36,0,0.068912475,6500.0,3,0,0,0,0.0
0,0.109061819,40,0,0.413053196,2236.0,10,0,1,0,1.0
0,0.028230812,47,0,621.0,,18,0,0,0,0.0
0,0.842279512,45,0,0.154948351,3000.0,7,0,0,0,0.0
0,0.0,45,0,568.0,,5,0,1,0,0.0
0,0.023294751,72,0,0.210151894,5200.0,7,0,1,0,0.0
0,0.042900458,49,0,0.29838295,17500.0,11,0,3,0,0.0
0,0.005618547,49,1,0.644393877,4833.0,17,0,2,0,4.0
0,0.019359396,55,0,5559.0,,12,0,2,0,0.0
0,0.651573359,64,0,0.577915377,5813.0,10,0,1,0,0.0
0,0.003409238,94,0,5.0,,13,0,0,0,0.0
0,0.013134034,59,0,484.0,,7,0,1,0,0.0
0,0.01879812,51,0,0.16874351,11555.0,5,0,2,0,1.0
0,0.078921979,41,0,0.255504261,11263.0,6,0,1,0,2.0
0,0.813721746,27,0,0.255184673,5062.0,5,0,0,0,1.0
0,0.00465228,60,0,0.00591466,2366.0,10,0,0,0,1.0
0,0.0,63,2,310.0,0.0,7,0,0,0,0.0
0,0.123894791,65,0,1209.0,0.0,7,0,2,0,0.0
0,0.9999999,33,0,0.377426312,6954.0,7,0,3,0,1.0
0,0.090169775,64,0,0.24457493,7833.0,6,0,0,0,2.0
0,0.055578579,68,0,0.258932002,5205.0,17,0,0,0,1.0
0,0.343144871,59,0,0.319585788,5600.0,9,0,1,0,1.0
0,0.9999999,22,0,133.0,0.0,1,0,0,0,0.0
0,0.314456096,36,1,0.743181472,13125.0,19,0,5,0,0.0
0,0.131796746,44,0,1217.0,,11,0,1,0,0.0
0,0.06516233,90,0,2117.0,,7,0,2,0,0.0
0,0.270232273,47,0,0.391885396,10400.0,9,0,4,0,2.0
0,0.045070972,81,0,27.0,,2,0,0,0,
0,0.095732237,62,0,1151.0,1.0,8,0,1,0,0.0
0,0.039765763,47,0,0.368466153,3500.0,9,0,1,0,0.0
0,0.899691978,51,0,0.329139205,10013.0,5,0,1,0,2.0
0,0.001693843,58,0,4948.0,,7,0,2,0,3.0
0,0.475748987,27,0,0.337743251,13000.0,13,0,5,0,0.0
0,0.0,49,0,0.093685101,13000.0,6,0,1,0,0.0
0,0.9999999,74,0,0.0,3000.0,0,0,0,0,0.0
0,0.81764937,49,0,0.685314685,1000.0,2,0,0,0,0.0
0,0.593229738,51,0,0.582527847,10862.0,12,0,2,0,1.0
0,0.276649666,50,1,0.355037939,17000.0,14,0,2,0,5.0
0,0.400457768,67,0,0.23432439,20684.0,7,0,2,0,0.0
0,0.279524497,49,1,0.635662898,3891.0,5,0,2,0,2.0
1,0.9999999,25,98,0.0,3360.0,0,98,0,98,0.0
0,0.792668856,50,0,0.674846626,4400.0,10,0,2,0,0.0
0,0.043498327,72,0,0.004744106,6955.0,2,0,0,0,0.0
0,0.523064103,46,1,0.491559894,4916.0,10,0,1,0,1.0
0,0.113232554,56,0,0.45236415,4250.0,26,0,1,0,2.0
0,0.01849013,50,0,0.426735219,3500.0,9,0,1,0,0.0
0,0.9999999,61,1,0.896752706,1200.0,6,0,0,0,0.0
0,0.110286884,51,0,2890.0,,9,0,1,0,0.0
0,0.141670459,64,0,0.418121994,3950.0,16,0,2,0,1.0
1,0.33534311,62,0,0.342609324,8300.0,7,0,2,0,0.0
0,0.115431846,63,0,0.051603905,2150.0,3,0,0,0,1.0
0,0.106001265,50,1,0.240075992,10000.0,11,0,2,0,3.0
1,0.832010181,72,2,0.660350545,2110.0,11,1,0,0,0.0
0,0.839548109,49,0,671.0,,5,0,0,0,0.0
0,0.533303598,44,0,5.364050304,4611.0,15,0,1,0,0.0
0,0.248078804,62,0,1862.0,,17,0,1,0,0.0
0,0.016015409,60,0,0.200840131,16425.0,8,0,1,0,0.0
1,0.9999999,32,0,0.080204399,4500.0,10,0,0,0,1.0
0,0.0,63,0,2182.0,,5,0,2,0,0.0
0,0.326216157,45,0,0.126593279,3451.0,14,0,0,0,2.0
0,0.135371075,57,0,0.408368326,6667.0,15,0,1,0,0.0
0,0.210584855,57,1,0.291641245,9833.0,20,0,2,1,2.0
0,0.084997927,78,0,0.022687609,4583.0,5,0,0,0,0.0
0,0.015998476,86,0,18.0,,4,0,0,0,0.0
0,0.9999999,39,1,0.310540575,7750.0,4,4,2,0,3.0
0,0.176362258,50,0,0.119313448,6000.0,11,0,1,0,0.0
0,0.16227924,35,0,0.002332945,6000.0,4,0,0,0,2.0
0,0.138144067,69,0,0.238346949,2080.0,3,0,1,0,0.0
0,0.041396385,60,1,0.054371602,16000.0,8,0,1,0,1.0
1,0.9999999,65,0,510.0,,1,1,0,1,0.0
0,0.02644201,56,0,0.149560117,3750.0,9,0,1,0,2.0
0,0.955215885,41,1,1.114295235,3000.0,9,1,2,0,2.0
0,0.041331956,81,0,37.0,,2,0,0,0,
0,0.99440112,48,1,0.787659328,3451.0,5,0,2,0,2.0
0,0.08165044,63,0,0.809646856,1160.0,26,0,0,0,0.0
0,0.9999999,58,0,1.458513829,3000.0,8,0,3,0,1.0
0,0.622229628,51,0,1.518987342,1500.0,3,0,1,0,0.0
0,0.010392486,79,0,0.107506951,3236.0,5,0,0,0,0.0
0,0.106453898,75,0,0.025324892,3000.0,2,0,0,0,1.0
0,0.9999999,35,0,0.0,5326.0,0,0,0,0,1.0
0,0.040639276,62,0,0.243894335,6018.0,8,0,2,0,0.0
0,0.067359849,69,0,0.488318431,6933.0,10,0,1,0,1.0
0,0.039089793,63,1,0.171855947,12300.0,19,0,2,0,2.0
0,0.874225155,56,0,1710.0,,7,0,0,0,3.0
0,0.631259134,39,0,0.273340433,2816.0,7,0,0,0,0.0
0,0.774014436,35,0,0.250917993,4084.0,3,0,0,0,2.0
0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0
0,0.230760937,70,0,0.387867822,10500.0,23,0,2,0,0.0
0,0.9999999,62,0,0.0,10093.0,0,0,0,0,1.0
0,0.528726396,31,0,355.0,,3,0,0,0,0.0
0,0.064775203,47,0,0.109689031,10000.0,17,0,1,0,4.0
0,0.038414192,57,0,0.052688993,18333.0,8,0,1,0,0.0
1,0.187146271,36,3,2.552086868,2946.0,7,0,3,0,1.0
0,0.624881851,48,0,1849.0,,6,0,1,0,0.0
0,0.013401991,64,0,0.002343384,6400.0,4,0,0,0,2.0
0,0.016725675,75,0,0.23893083,4900.0,11,0,1,0,0.0
0,0.03179841,32,0,0.169207698,4000.0,11,0,0,0,0.0
0,0.838012523,31,0,0.277400333,7800.0,6,0,1,0,2.0
0,0.953006713,35,0,0.207020298,8916.0,7,0,0,0,1.0
0,0.510024622,27,1,974.0,,5,0,0,0,
0,0.280325547,51,0,0.425858047,3000.0,7,0,1,0,0.0
0,0.053811528,55,0,0.01089891,10000.0,4,0,0,0,3.0
0,0.152021799,55,0,0.379814725,2050.0,9,0,1,0,0.0
0,0.889204162,35,0,0.251021049,6365.0,7,0,0,0,0.0
0,0.023414645,59,0,0.067870486,20877.0,9,0,1,0,2.0
0,0.09393331,47,0,0.208066184,9669.0,7,0,1,0,3.0
0,0.038780969,65,0,0.394278198,3040.0,10,0,2,0,1.0
0,0.526967065,31,0,0.083972009,3000.0,3,0,0,1,0.0
0,0.136162073,64,0,0.397254141,6700.0,5,0,1,0,1.0
0,0.554489102,52,0,0.301287208,2485.0,5,0,0,0,0.0
0,0.052581086,67,0,2313.0,,4,0,2,0,0.0
0,0.457216323,47,0,0.441386238,9954.0,17,0,3,0,0.0
0,0.04949505,76,0,0.001333206,10500.0,5,0,0,0,0.0
0,0.624852802,75,0,3356.0,,11,0,1,0,0.0
0,0.004646755,59,0,31.0,,22,0,0,0,2.0
0,0.471989059,58,0,0.601330604,7815.0,13,0,1,0,1.0
0,0.050277901,69,0,0.452341824,2433.0,14,0,1,1,0.0
0,0.096353837,56,0,0.212605983,6250.0,12,0,2,0,0.0
0,0.006135666,67,0,0.181836529,4954.0,4,0,1,0,1.0
0,0.495338605,46,0,0.571108623,6250.0,11,0,2,0,2.0
0,0.216771097,62,0,0.006399147,7500.0,2,0,0,0,0.0
0,0.110796863,58,1,0.50338063,10500.0,20,0,3,1,0.0
0,0.043368394,72,0,4.644518272,300.0,8,0,1,0,0.0
0,0.021405174,76,0,0.681030213,8075.0,12,0,3,0,1.0
1,0.025192896,39,0,0.617676465,5000.0,8,0,2,0,2.0
0,0.354017944,52,1,0.400163094,8583.0,16,0,3,1,1.0
0,0.0,64,0,0.0,,7,0,0,0,0.0
0,0.000714222,55,0,0.30071311,9114.0,5,0,1,0,0.0
0,0.185103461,39,0,3825.0,,17,0,2,0,0.0
0,0.024088987,54,0,0.512671756,3274.0,9,0,1,0,0.0
0,0.318600562,47,0,0.244371445,12480.0,6,0,1,0,1.0
0,0.052602832,67,0,37.0,,4,0,0,0,0.0
